"element","isotope","mass","abundance","ratioC","Mass_Dif","unsaturation"
"Kr","84Kr",83.911507,1,0,0,0
"[86]Kr","86Kr",85.91061073,0.303209503921947,0,1.99910373,0
"Rb","85Rb",84.91178974,1,0,0,0
"[87]Rb","87Rb",86.90918053,0.38561729250381,0,1.99739079,0
"[84]Sr","84Sr",83.913425,0.00678130297892952,0,-3.9921871,0
"[86]Sr","86Sr",85.9092602,0.119399370307581,0,-1.99635189999999,0
"[87]Sr","87Sr",86.9088771,0.084766287236619,0,-0.996735000000001,0
"Sr","88Sr",87.9056121,1,0,0,0
"Y","89Y",88.9058483,1,0,0,0
"Zr","90Zr",89.9047044,1,0,0,0
"[91]Zr","91Zr",90.9056458,0.218075801749271,0,1.0009414,0
"[92]Zr","92Zr",91.9050408,0.333333333333333,0,2.00033639999999,0
"[94]Zr","94Zr",93.9063152,0.337803692905734,0,4.00161079999999,0
"[96]Zr","96Zr",95.9082734,0.054421768707483,0,6.003569,0
"Nb","93Nb",92.9063781,1,0,0,0
"[92]Mo","92Mo",91.906811,0.610582885489872,0,-5.99859719999999,0
"[94]Mo","94Mo",93.9050883,0.381562629185614,0,-4.00031989999999,0
"[95]Mo","95Mo",94.9058421,0.657296403472509,0,-2.9995661,0
"[96]Mo","96Mo",95.9046795,0.689541132699463,0,-2.0007287,0
"[97]Mo","97Mo",96.9060215,0.395204630012402,0,-0.999386700000002,0
"Mo","98Mo",97.9054082,1,0,0,0
"[100]Mo","100Mo",99.90747,0.399751963621331,0,2.00206180000001,0
"[96]Ru","96Ru",95.907598,0.175594294770206,0,-5.99675130000001,0
"[98]Ru","98Ru",97.905287,0.059270998415214,0,-3.99906230000001,0
"[99]Ru","99Ru",98.9059393,0.404437400950872,0,-2.99841000000001,0
"[100]Ru","100Ru",99.9042195,0.399366085578447,0,-2.00012980000001,0
"[101]Ru","101Ru",100.9055821,0.540729001584786,0,-0.998767200000003,0
"Ru","102Ru",101.9043493,1,0,0,0
"[104]Ru","104Ru",103.905433,0.590174326465927,0,2.0010837,0
"Rh","103Rh",102.905504,1,0,0,0
"[102]Pd","102Pd",101.905609,0.0373216245883644,0,-3.997877,0
"[104]Pd","104Pd",103.904036,0.407610684229784,0,-1.99945,0
"[105]Pd","105Pd",104.905085,0.817050859860959,0,-0.998401000000001,0
"Pd","106Pd",105.903486,1,0,0,0
"[108]Pd","108Pd",107.903892,0.968166849615807,0,2.000406,0
"[110]Pd","110Pd",109.905153,0.428832784485913,0,4.001667,0
"Ag","107Ag",106.905097,1,0,0,0
"[109]Ag","109Ag",108.904752,0.929049557283127,0,1.999655,0
"[106]Cd","106Cd",105.906459,0.0435085276714236,0,-7.9968995,0
"[108]Cd","108Cd",107.904184,0.0309780717020536,0,-5.9991745,0
"[110]Cd","110Cd",109.9030021,0.434737208492865,0,-4.0003564,0
"[111]Cd","111Cd",110.9041781,0.445527323355378,0,-2.9991804,0
"[112]Cd","112Cd",111.9027578,0.839888618169161,0,-2.00060069999999,0
"[113]Cd","113Cd",112.9044017,0.425339366515837,0,-0.998956800000002,0
"Cd","114Cd",113.9033585,1,0,0,0
"[116]Cd","116Cd",115.904756,0.26070309780717,0,2.00139750000001,0
"[113]In","113In",112.904058,0.0448229025180232,0,-1.99982,0
"In","115In",114.903878,1,0,0,0
